COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
94,803.59,1674.36,758.974,674.359,666.667,974.359,1550.77,1211.79,1743.08,1337.95,1352.31,669.744,1196.41,1621.54,2046,2023,9.646,0,0,0,0,
95,811.282,1677.95,767.692,678.462,666.154,986.154,1549.74,1217.95,1751.79,1338.97,1353.33,668.718,1202.05,1623.59,2046,2022,9.656,0,0,0,0,
96,819.487,1687.69,770.256,685.641,667.179,985.128,1551.28,1223.08,1752.31,1338.97,1355.9,669.231,1201.03,1633.85,2046,2021,9.656,0,0,0,0,
97,822.051,1690.26,776.41,693.333,666.154,985.641,1551.79,1226.15,1749.74,1347.69,1362.56,668.718,1202.56,1643.08,2046,2022,9.666,0,0,0,0,
98,818.974,1686.15,787.179,701.026,666.154,1000,1554.87,1226.67,1752.82,1353.85,1368.72,667.692,1207.18,1643.59,2047,2022,9.676,0,0,0,0,
99,824.615,1687.69,790.769,707.179,668.205,1004.1,1557.44,1230.26,1754.36,1351.79,1367.18,667.692,1212.31,1642.05,2047,2023,9.686,0,0,0,0,
100,833.846,1691.28,790.256,715.897,668.205,1000,1555.9,1236.41,1752.82,1351.79,1366.67,668.205,1218.46,1642.05,2046,2022,9.686,0,0,0,0,
101,842.564,1689.74,798.974,720.513,670.769,1007.18,1560,1240.51,1752.82,1356.92,1369.23,667.692,1223.08,1643.59,2046,2020,9.696,0,0,0,0,
102,851.282,1688.21,808.718,724.103,675.897,1015.9,1567.18,1241.54,1754.36,1365.13,1370.77,667.692,1226.15,1642.05,2047,2021,9.706,0,0,0,0,
103,852.821,1690.26,816.923,732.308,676.41,1014.36,1566.67,1242.56,1753.85,1367.69,1376.41,668.718,1231.79,1640,2046,2021,9.716,0,0,0,0,
104,856.923,1688.21,821.026,742.051,674.359,1016.41,1565.13,1248.21,1753.85,1367.69,1383.08,669.231,1238.97,1647.69,2044,2020,9.726,0,0,0,0,
105,867.179,1688.21,819.487,747.179,677.436,1026.15,1568.21,1254.87,1753.33,1368.72,1384.1,669.744,1241.54,1657.44,2045,2022,9.726,0,0,0,0,
106,869.231,1699.49,827.692,753.333,682.564,1031.79,1568.72,1257.44,1754.87,1370.77,1385.13,669.744,1245.13,1656.92,2045,2022,9.736,0,0,0,0,
107,866.154,1707.69,835.385,765.128,685.641,1034.87,1566.15,1262.56,1755.9,1375.38,1385.64,668.718,1250.26,1654.87,2045,2021,9.746,0,0,0,0,
108,873.846,1703.08,837.949,769.231,694.359,1041.03,1565.13,1267.69,1753.85,1383.08,1384.62,670.256,1249.23,1657.44,2047,2021,9.756,0,0,0,0,
109,886.667,1700,845.641,771.795,703.59,1045.13,1570.26,1267.69,1757.95,1385.64,1391.79,674.359,1250.26,1656.92,2047,2023,9.766,0,0,0,0,
110,888.205,1705.13,852.821,781.026,708.205,1046.67,1577.95,1268.21,1766.15,1384.1,1400,676.41,1255.38,1653.85,2046,2021,9.766,0,0,0,0,
111,889.744,1707.18,857.436,786.667,714.359,1051.28,1582.05,1272.31,1767.69,1383.08,1400.51,675.385,1258.97,1655.9,2046,2022,9.776,0,0,0,0,
112,900.513,1705.64,865.641,791.282,723.59,1059.49,1582.05,1279.49,1765.64,1388.72,1400,675.897,1263.59,1660,2045,2022,9.786,0,0,0,0,
113,906.154,1706.15,869.744,800.513,731.282,1062.05,1582.56,1288.21,1767.69,1398.97,1400.51,676.41,1272.31,1658.46,2045,2024,9.796,0,0,0,0,
114,907.692,1706.67,868.718,803.59,738.462,1064.62,1582.05,1288.72,1769.23,1401.54,1403.08,676.41,1272.82,1661.03,2046,2024,9.796,0,0,0,0,
115,917.436,1705.64,878.974,804.103,748.718,1072.31,1583.59,1285.64,1768.72,1399.49,1410.26,676.923,1271.28,1670.26,2047,2022,9.806,0,0,0,0,
116,924.103,1704.1,888.205,814.872,754.872,1076.92,1590.77,1294.87,1770.26,1401.54,1415.9,678.974,1281.54,1674.36,2047,2022,9.816,0,0,0,0,
117,919.487,1707.18,890.256,821.026,762.051,1075.9,1594.87,1304.62,1770.77,1403.59,1415.38,683.077,1288.21,1670.77,2048,2023,9.826,0,0,0,0,
118,925.128,1709.74,900,825.128,768.718,1081.54,1591.79,1302.56,1770.26,1408.21,1415.38,687.179,1287.69,1671.28,2049,2024,9.836,0,0,0,0,
119,934.872,1707.18,907.179,835.385,772.308,1091.28,1591.28,1302.56,1771.28,1416.41,1417.95,694.872,1290.77,1672.82,2047,2023,9.836,0,0,0,0,
120,936.41,1711.79,902.564,835.897,780,1092.31,1595.38,1306.15,1771.79,1417.95,1424.1,703.077,1296.92,1673.85,2046,2021,9.846,0,0,0,0,
121,945.128,1720.51,907.179,840,787.692,1092.31,1598.46,1307.69,1769.23,1414.87,1431.79,707.692,1301.54,1673.85,2045,2021,9.856,0,0,0,0,
122,952.821,1721.54,919.487,851.282,795.897,1102.05,1600.51,1313.85,1771.79,1419.49,1431.79,714.872,1304.62,1672.82,2046,2021,9.866,0,0,0,0,
123,954.359,1719.49,922.564,853.333,801.026,1110.26,1603.08,1321.54,1781.03,1426.67,1430.77,720.513,1306.15,1681.03,2047,2020,9.876,0,0,0,0,
124,963.077,1721.54,927.692,855.385,806.667,1109.74,1602.05,1320,1786.67,1429.74,1431.79,725.128,1307.18,1689.23,2045,2023,9.876,0,0,0,0,
125,971.282,1721.03,937.436,866.154,813.333,1110.77,1604.1,1322.05,1785.64,1431.28,1431.79,733.333,1314.36,1687.18,2046,2022,9.886,0,0,0,0,
126,969.744,1719.49,936.41,869.231,817.949,1117.95,1608.21,1332.82,1783.08,1432.31,1437.44,741.538,1321.54,1685.64,2046,2022,9.896,0,0,0,0,
127,975.897,1721.54,939.487,873.846,824.103,1124.1,1609.74,1336.92,1784.1,1433.33,1446.15,748.205,1320.51,1687.69,2045,2022,9.906,0,0,0,0,
128,987.179,1723.59,951.795,885.641,834.359,1123.59,1610.26,1333.85,1786.67,1436.92,1447.18,753.333,1320.51,1687.69,2046,2021,9.916,0,0,0,0,
0,986.154,1721.54,954.872,887.179,836.923,1122.56,1610.77,1335.38,1789.23,1445.13,1447.18,756.923,1329.23,1687.18,2045,2020,9.916,0,0,0,0,
1,983.59,1720.51,959.487,890.256,835.385,1132.82,1613.85,1344.1,1788.72,1449.23,1448.72,763.59,1337.44,1690.26,2045,2020,9.926,0,0,0,0,
2,991.282,1729.23,970.769,903.59,844.615,1142.56,1621.03,1350.77,1787.69,1448.21,1449.23,770.769,1335.9,1691.79,2046,2021,9.936,0,0,0,0,
3,1000,1739.49,970.769,906.154,852.308,1141.03,1622.56,1351.79,1789.74,1448.72,1454.87,774.872,1334.87,1689.74,2047,2020,9.946,0,0,0,0,
4,1003.08,1738.97,972.821,904.103,858.974,1143.08,1621.03,1352.31,1791.28,1448.72,1463.08,780,1344.1,1692.31,2047,2022,9.946,0,0,0,0,
5,1006.15,1735.9,984.103,915.385,869.231,1154.36,1623.59,1355.9,1791.79,1449.74,1464.1,789.231,1351.28,1701.54,2047,2021,9.956,0,0,0,0,
6,1014.36,1737.44,985.641,922.564,868.205,1158.97,1625.64,1363.08,1796.41,1454.36,1463.59,797.949,1350.26,1705.13,2048,2023,9.966,0,0,0,0,
7,1017.95,1738.46,986.154,921.538,871.282,1154.87,1626.67,1369.23,1800.51,1462.05,1466.15,804.103,1352.31,1702.56,2047,2023,9.976,0,0,0,0,
8,1018.46,1737.44,997.949,931.795,886.667,1157.95,1628.72,1369.74,1799.49,1465.64,1466.15,801.026,1354.87,1702.56,2047,2023,9.986,0,0,0,0,
9,1025.64,1737.95,1003.08,938.462,890.769,1167.69,1631.79,1366.15,1796.41,1465.13,1465.64,803.077,1354.87,1704.1,2047,2024,9.986,0,0,0,0,
10,1033.85,1737.95,1003.59,937.436,891.282,1173.33,1637.95,1371.28,1796.92,1466.67,1468.21,816.923,1362.05,1705.13,2046,2022,9.996,0,0,0,0,
11,1039.49,1737.95,1012.31,946.667,902.051,1171.28,1641.54,1380.51,1798.46,1473.85,1472.82,820,1369.23,1704.1,2045,2022,10.006,0,0,0,0,
12,1043.59,1741.03,1017.44,954.872,907.179,1173.33,1640,1385.13,1801.03,1480.51,1480.51,821.538,1368.21,1705.64,2046,2022,10.016,0,0,0,0,
13,1046.67,1743.08,1017.95,955.897,912.821,1184.1,1639.49,1385.13,1804.62,1481.54,1486.15,833.846,1374.36,1713.85,2047,2023,10.026,0,0,0,0,
14,1053.85,1743.59,1025.64,964.615,921.538,1189.74,1640.51,1384.62,1806.67,1478.46,1484.62,836.923,1385.64,1720.51,2047,2024,10.026,0,0,0,0,
15,1061.03,1748.72,1033.85,971.282,921.026,1189.23,1642.56,1390.77,1806.67,1480,1484.62,835.385,1386.15,1718.97,2046,2022,10.036,0,0,0,0,
16,1060,1754.36,1037.95,968.205,924.103,1193.33,1645.64,1398.46,1808.21,1486.15,1490.77,847.179,1382.05,1717.44,2046,2021,10.046,0,0,0,0,
17,1064.62,1753.85,1043.08,972.821,937.436,1200,1642.05,1400.51,1808.21,1486.67,1493.33,854.359,1384.62,1720,2046,2023,10.056,0,0,0,0,
18,1076.41,1753.85,1047.18,982.564,938.974,1203.59,1642.56,1400,1806.67,1486.67,1491.79,852.308,1392.82,1722.05,2046,2023,10.056,0,0,0,0,
19,1078.97,1754.36,1052.31,985.128,939.487,1207.18,1654.36,1400.51,1810.77,1497.44,1497.95,862.564,1400.51,1721.54,2045,2022,10.066,0,0,0,0,
20,1075.38,1752.31,1058.46,992.308,949.744,1210.77,1658.97,1402.56,1811.79,1504.1,1504.62,871.282,1404.62,1722.56,2046,2023,10.076,0,0,0,0,
21,1080.51,1752.82,1060,1001.03,954.359,1213.33,1652.31,1409.74,1809.23,1499.49,1501.54,868.205,1403.08,1722.56,2046,2021,10.086,0,0,0,0,
22,1091.28,1756.92,1065.13,1001.54,959.487,1217.95,1650.77,1417.95,1813.33,1497.95,1500.51,871.795,1401.03,1721.03,2046,2020,10.096,0,0,0,0,
23,1096.41,1756.92,1075.38,1005.13,968.718,1222.05,1654.87,1415.38,1816.92,1503.08,1507.18,886.154,1406.15,1727.18,2046,2023,10.096,0,0,0,0,
24,1098.97,1754.36,1077.44,1013.85,972.308,1226.15,1657.95,1413.85,1815.38,1510.77,1514.87,889.744,1415.38,1734.36,2046,2021,10.106,0,0,0,0,
25,1105.64,1757.44,1078.97,1019.49,977.949,1231.28,1666.67,1424.1,1815.38,1517.44,1518.46,887.692,1418.97,1732.31,2045,2023,10.116,0,0,0,0,
26,1109.23,1766.15,1088.21,1024.1,986.154,1235.38,1673.33,1431.79,1818.46,1517.44,1519.49,896.41,1414.87,1733.33,2046,2023,10.126,0,0,0,0,
27,1108.72,1769.23,1092.31,1028.72,986.154,1240,1670.77,1431.79,1820.51,1515.9,1520.51,907.179,1416.92,1738.46,2047,2022,10.136,0,0,0,0,
28,1116.92,1767.69,1092.82,1029.74,990.256,1242.05,1669.23,1432.31,1825.13,1517.95,1522.05,906.154,1427.18,1737.95,2046,2023,10.136,0,0,0,0,
29,1126.15,1769.23,1101.54,1038.46,1000,1244.1,1673.33,1434.36,1825.13,1521.03,1524.1,903.077,1434.87,1737.44,2046,2023,10.146,0,0,0,0,
30,1123.08,1771.28,1109.74,1046.15,1003.08,1250.26,1674.36,1438.46,1822.05,1523.59,1528.72,911.795,1432.82,1737.44,2047,2024,10.156,0,0,0,0,
31,1125.64,1771.79,1110.26,1045.64,1008.21,1255.9,1671.28,1445.13,1825.64,1529.23,1533.85,923.59,1430.26,1738.46,2046,2022,10.166,0,0,0,0,
32,1136.92,1771.79,1113.33,1051.79,1015.9,1257.44,1672.82,1449.74,1830.77,1533.85,1534.87,932.821,1437.44,1747.18,2047,2023,10.176,0,0,0,0,
33,1140,1770.77,1120,1060,1019.49,1260,1674.87,1449.23,1832.82,1534.87,1533.33,938.974,1446.15,1751.79,2048,2023,10.176,0,0,0,0,
34,1139.49,1775.38,1124.1,1061.54,1025.13,1266.15,1678.97,1449.23,1831.28,1534.36,1533.33,936.41,1448.72,1750.26,2048,2023,10.186,0,0,0,0,
