COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
120,4028.21,3949.23,3978.97,4018.97,4111.79,4195.38,3955.38,3975.9,4104.1,3932.31,3992.31,3986.67,4072.31,4033.33,2097,2044,3.028,0,0,0,0,
121,4022.05,3960,3970.26,4013.85,4131.28,4210.77,3953.85,3968.21,4103.59,3956.92,3985.13,3982.56,4071.79,4036.92,2097,2044,3.036,0,0,0,0,
122,4032.82,3968.21,3983.59,4015.38,4076.92,4178.97,3949.23,3968.21,4112.82,3956.92,3989.23,3997.44,4082.56,4060,2098,2043,3.045,0,0,0,0,
123,4026.67,3943.59,3975.9,4006.67,4065.64,4160.51,3934.36,3958.97,4110.26,3943.08,3987.18,3989.23,4072.82,4038.46,2097,2043,3.052,0,0,0,0,
124,4028.21,3944.62,3972.31,4005.13,4117.95,4192.31,3938.46,3963.08,4123.59,3970.77,3994.36,3987.18,4077.95,4029.23,2094,2048,3.059,0,0,0,0,
125,4065.13,3983.08,4011.28,4027.69,4119.49,4213.33,3970.77,3997.95,4141.54,3988.72,4028.21,4028.72,4117.95,4078.46,2093,2050,3.068,0,0,0,0,
126,4062.56,3973.85,4008.21,4030.26,4083.08,4183.08,3966.15,3995.9,4112.82,3958.97,4028.72,4030.26,4110.26,4078.46,2090,2049,3.076,0,0,0,0,
127,4027.69,3940,3959.49,4006.15,4085.13,4159.49,3928.72,3960.51,4094.87,3959.49,4004.62,3986.67,4077.95,4032.82,2083,2042,3.085,0,0,0,0,
128,4026.15,3945.13,3955.9,4001.03,4090.26,4176.41,3929.23,3963.08,4126.67,3981.54,4005.13,3987.18,4085.64,4031.79,2080,2039,3.091,0,0,0,0,
0,4032.31,3941.03,3981.03,4005.13,4072.31,4192.31,3960,3985.13,4134.36,3969.74,4003.08,4010.26,4082.56,4036.41,2076,2039,3.1,0,0,0,0,
1,4021.03,3924.1,3972.31,3992.82,4076.41,4187.69,3955.9,3973.33,4109.74,3954.87,3994.36,4004.62,4062.05,4023.59,2075,2040,3.111,0,0,0,0,
2,4032.82,3938.46,3968.21,3994.87,4066.67,4188.72,3945.64,3962.56,4099.49,3932.82,4012.31,4002.56,4086.67,4044.62,2074,2043,3.117,0,0,0,0,
3,4055.9,3955.9,3989.74,4007.69,4035.9,4198.46,3958.46,3972.31,4106.67,3921.54,4021.03,4013.85,4107.18,4063.08,2074,2042,3.122,0,0,0,0,
4,4043.08,3938.46,3981.03,3996.41,4071.28,4190.77,3947.69,3965.64,4109.74,3950.77,4000.51,4005.64,4087.69,4043.08,2074,2032,3.131,0,0,0,0,
5,4030.26,3924.1,3963.08,3986.15,4118.97,4172.31,3931.28,3957.44,4103.59,3949.23,4012.31,4001.03,4094.87,4043.08,2073,2026,3.139,0,0,0,0,
6,4034.87,3938.46,3965.13,3994.36,4105.64,4175.38,3933.33,3961.54,4109.74,3940.51,4031.28,4006.15,4105.64,4053.85,2073,2027,3.148,0,0,0,0,
7,4035.38,3946.15,3964.1,3992.31,4075.9,4186.15,3932.82,3957.95,4127.18,3983.59,4012.31,4002.56,4086.67,4040.51,2072,2030,3.154,0,0,0,0,
8,4035.9,3940.51,3962.05,3990.26,4072.82,4178.97,3929.23,3953.85,4124.1,3981.03,3997.95,3998.46,4083.08,4035.9,2071,2037,3.163,0,0,0,0,
9,4044.62,3943.59,3975.9,4002.56,4080.51,4175.38,3941.54,3963.59,4108.72,3942.56,4008.21,3999.49,4102.56,4050.77,2068,2045,3.171,0,0,0,0,
10,4040,3943.59,3974.87,3997.95,4042.05,4183.08,3944.62,3967.18,4111.79,3957.44,4009.74,3991.79,4097.44,4045.13,2066,2046,3.179,0,0,0,0,
11,4021.54,3926.15,3953.33,3987.69,4021.54,4194.36,3934.87,3956.41,4113.85,3952.82,3993.33,3981.03,4071.79,4026.15,2062,2045,3.187,0,0,0,0,
