COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
128,4291.28,3848.72,4300,4123.08,4174.36,4124.62,4441.54,4445.64,4220.51,4278.97,4338.46,4323.08,3842.56,4442.05,2053,2034,8.969,0,0,0,0,
0,4293.85,3861.03,4306.67,4130.77,4184.62,4125.13,4445.64,4445.64,4225.64,4272.82,4344.62,4327.18,3860.51,4462.05,2052,2035,8.976,0,0,0,0,
1,4299.49,3874.87,4313.85,4138.46,4215.38,4132.82,4461.03,4456.92,4234.36,4267.69,4351.79,4331.79,3869.74,4463.08,2052,2035,8.984,0,0,0,0,
2,4312.31,3890.26,4326.15,4144.62,4216.41,4140.51,4479.49,4479.49,4248.21,4285.64,4364.1,4351.79,3878.97,4467.18,2050,2035,8.992,0,0,0,0,
3,4314.87,3902.05,4328.72,4152.82,4215.38,4147.69,4485.64,4488.72,4252.82,4296.92,4363.59,4356.92,3890.26,4484.62,2050,2036,9.001,0,0,0,0,
4,4304.62,3909.23,4326.67,4156.92,4238.46,4154.36,4491.79,4485.13,4247.69,4289.23,4354.36,4348.72,3891.28,4492.31,2051,2034,9.008,0,0,0,0,
5,4298.46,3910.26,4324.1,4147.18,4233.85,4153.33,4500,4473.85,4241.54,4274.87,4344.62,4341.54,3884.1,4475.38,2048,2032,9.016,0,0,0,0,
6,4305.64,3912.82,4320.51,4138.97,4223.59,4154.87,4504.62,4468.72,4237.44,4259.49,4336.92,4337.95,3886.15,4469.74,2049,2031,9.024,0,0,0,0,
7,4318.46,3931.79,4329.74,4146.15,4262.05,4165.64,4513.33,4487.69,4246.15,4271.79,4349.74,4352.82,3903.59,4494.87,2049,2031,9.032,0,0,0,0,
8,4328.72,3955.9,4345.13,4155.9,4300.51,4167.69,4518.97,4508.72,4255.38,4310.77,4366.67,4371.79,3924.1,4509.74,2049,2030,9.04,0,0,0,0,
9,4335.38,3961.54,4348.72,4160,4280.51,4155.9,4520,4505.13,4247.18,4325.64,4359.49,4372.31,3934.36,4501.03,2050,2031,9.048,0,0,0,0,
10,4337.44,3959.49,4349.23,4165.64,4246.67,4152.31,4527.69,4501.03,4236.41,4306.67,4354.87,4373.33,3938.97,4506.15,2051,2033,9.055,0,0,0,0,
11,4335.9,3968.72,4358.46,4169.23,4265.64,4163.59,4542.56,4510.26,4245.64,4300,4371.79,4385.13,3947.69,4518.97,2051,2034,9.064,0,0,0,0,
12,4329.74,3972.82,4362.56,4165.13,4290.77,4168.72,4549.74,4512.31,4255.38,4311.79,4376.41,4386.67,3952.31,4515.9,2051,2035,9.071,0,0,0,0,
13,4330.26,3975.38,4369.23,4167.69,4291.79,4169.74,4550.26,4506.67,4249.74,4322.56,4376.41,4389.74,3954.87,4529.74,2050,2039,9.079,0,0,0,0,
14,4335.9,3985.64,4380,4173.33,4298.97,4176.92,4563.08,4518.97,4253.85,4340.51,4385.64,4400,3967.69,4551.79,2050,2038,9.087,0,0,0,0,
15,4329.74,3985.64,4378.97,4168.21,4294.36,4179.49,4574.36,4532.31,4265.64,4354.36,4386.15,4400.51,3975.9,4550.26,2051,2033,9.095,0,0,0,0,
16,4320,3971.79,4374.36,4165.13,4283.59,4174.87,4572.31,4524.1,4265.13,4351.28,4383.08,4398.97,3976.41,4548.72,2052,2031,9.103,0,0,0,0,
17,4322.56,3975.38,4382.05,4171.28,4303.08,4172.82,4572.31,4521.03,4264.1,4346.67,4391.79,4408.21,3987.69,4562.56,2053,2031,9.11,0,0,0,0,
18,4317.44,3984.1,4385.64,4172.31,4312.82,4167.69,4573.85,4527.69,4269.74,4341.03,4391.79,4408.72,3993.33,4567.18,2052,2030,9.118,0,0,0,0,
